Dataset,Model,MRR_Tail,MRR_Head,MRR_Avg,Hits@1_Tail,Hits@1_Head,Hits@1_Avg,Hits@3_Tail,Hits@3_Head,Hits@3_Avg,Hits@10_Tail,Hits@10_Head,Hits@10_Avg,seconds
FB15K-237-10,RotatE,0.18301,0.05535,0.11918,0.12028,0.02485,0.07256,0.19802,0.05289,0.12545,0.30882,0.11631,0.21256,1468.017
FB15K-237-20,RotatE,0.25209,0.08553,0.16881,0.17506,0.04126,0.10816,0.27154,0.08379,0.17766,0.40933,0.17794,0.29364,3203.584
FB15K-237-50,RotatE,0.31778,0.13018,0.22398,0.22673,0.06815,0.14744,0.34585,0.13491,0.24038,0.50605,0.26038,0.38322,3338.785
NELL23K,RotatE,0.22917,0.15802,0.19359,0.15792,0.10521,0.13156,0.24354,0.16983,0.20668,0.38207,0.25949,0.32078,5006.916
WD-singer,RotatE,0.42353,0.31161,0.36757,0.36859,0.26464,0.31661,0.46074,0.33863,0.39968,0.51793,0.39174,0.45483,838.522
WN18RR,RotatE,0.48008,0.43706,0.45857,0.44512,0.40587,0.42549,0.49138,0.44320,0.46729,0.55169,0.50160,0.52664,8105.566
FB15K-237-10,DistMult,0.18591,0.05779,0.12185,0.12083,0.02573,0.07328,0.20033,0.05669,0.12851,0.31658,0.12066,0.21862,538.366
FB15K-237-20,DistMult,0.23898,0.07673,0.15785,0.16995,0.03787,0.10391,0.25551,0.07570,0.16560,0.38041,0.15509,0.26775,1299.524
FB15K-237-50,DistMult,0.30236,0.12100,0.21168,0.21531,0.06229,0.13880,0.32651,0.12512,0.22582,0.48061,0.24247,0.36154,1992.858
NELL23K,DistMult,0.24374,0.16481,0.20428,0.15670,0.10440,0.13055,0.27221,0.18235,0.22728,0.42488,0.28191,0.35339,965.746
WD-singer,DistMult,0.41565,0.30212,0.35888,0.35043,0.25601,0.30322,0.45937,0.32728,0.39333,0.52610,0.38402,0.45506,842.987
WN18RR,DistMult,0.47006,0.42350,0.44678,0.43586,0.38577,0.41082,0.48405,0.44097,0.46251,0.53350,0.50064,0.51707,4154.202
FB15K-237-10,ComplEx,0.23774,0.07050,0.15412,0.16540,0.03289,0.09915,0.25752,0.07030,0.16391,0.38099,0.14248,0.26174,619.820
FB15K-237-20,ComplEx,0.25132,0.08085,0.16609,0.17698,0.04060,0.10879,0.26997,0.07969,0.17483,0.40337,0.15847,0.28092,765.142
FB15K-237-50,ComplEx,0.28889,0.10657,0.19773,0.20503,0.05466,0.12985,0.31268,0.10805,0.21037,0.46256,0.21325,0.33790,1054.197
NELL23K,ComplEx,0.23220,0.15244,0.19232,0.15065,0.10258,0.12662,0.24960,0.16761,0.20860,0.40287,0.24576,0.32431,645.680
WD-singer,ComplEx,0.39022,0.28304,0.33663,0.33182,0.24421,0.28802,0.42488,0.30595,0.36541,0.49251,0.34680,0.41966,2891.206
WN18RR,ComplEx,0.46179,0.43481,0.44830,0.43650,0.41193,0.42422,0.47415,0.44703,0.46059,0.51085,0.48054,0.49569,13558.409
WD-singer,TransE,0.18137,0.06222,0.12180,0.11303,0.02769,0.07036,0.20018,0.07444,0.13731,0.31911,0.11802,0.21857,2174.923
WD-singer,ConvE,0.42896,0.29474,0.36185,0.36450,0.24739,0.30595,0.46210,0.32274,0.39242,0.54698,0.37676,0.46187,1032.970
WD-singer,TuckER,0.42237,0.28822,0.35530,0.34135,0.22424,0.28280,0.47390,0.33091,0.40241,0.55924,0.39900,0.47912,3387.943
FB15K-237-10,TransE,0.22991,0.07087,0.15039,0.15796,0.03460,0.09628,0.25234,0.07333,0.16284,0.37350,0.14540,0.25945,601.674
FB15K-237-10,ConvE,0.24429,0.07235,0.15832,0.17399,0.03559,0.10479,0.26050,0.06865,0.16457,0.38887,0.14771,0.26829,633.368
FB15K-237-10,TuckER,0.25491,0.08109,0.16800,0.18083,0.03961,0.11022,0.27278,0.08055,0.17667,0.40501,0.16298,0.28399,2462.164
WN18RR,TransE,0.03680,0.01486,0.02583,0.02265,0.00957,0.01611,0.03638,0.01468,0.02553,0.06541,0.02393,0.04467,1491.707
WN18RR,ConvE,0.44904,0.41380,0.43142,0.41576,0.38290,0.39933,0.45788,0.42565,0.44177,0.51946,0.47639,0.49793,6789.340
WN18RR,TuckER,0.47996,0.42137,0.45067,0.45182,0.39407,0.42294,0.49234,0.42789,0.46011,0.52872,0.47639,0.50255,8456.927
FB15K-237-20,TransE,0.24871,0.07742,0.16306,0.17344,0.03737,0.10541,0.26987,0.07590,0.17289,0.40054,0.15797,0.27925,2362.903
