Dataset,Model,MRR_Tail,MRR_Head,MRR_Avg,Hits@1_Tail,Hits@1_Head,Hits@1_Avg,Hits@3_Tail,Hits@3_Head,Hits@3_Avg,Hits@10_Tail,Hits@10_Head,Hits@10_Avg,seconds
FB15K-237-10,RotatE,0.18301,—,—,0.12028,—,—,0.19802,—,—,0.30882,—,—,—
FB15K-237-20,RotatE,0.25209,—,—,0.17506,—,—,0.27154,—,—,0.40933,—,—,—
FB15K-237-50,RotatE,0.31778,—,—,0.22673,—,—,0.34585,—,—,0.50605,—,—,—
NELL23K,RotatE,0.22917,—,—,0.15792,—,—,0.24354,—,—,0.38207,—,—,—
WD-singer,RotatE,0.42353,—,—,0.36859,—,—,0.46074,—,—,0.51793,—,—,—
WN18RR,RotatE,0.48008,—,—,0.44512,—,—,0.49138,—,—,0.55169,—,—,—
FB15K-237-10,DistMult,0.18591,—,—,0.12083,—,—,0.20033,—,—,0.31658,—,—,—
FB15K-237-20,DistMult,0.23898,—,—,0.16995,—,—,0.25551,—,—,0.38041,—,—,—
FB15K-237-50,DistMult,0.30236,—,—,0.21531,—,—,0.32651,—,—,0.48061,—,—,—
NELL23K,DistMult,0.24374,—,—,0.15670,—,—,0.27221,—,—,0.42488,—,—,—
WD-singer,DistMult,0.41565,—,—,0.35043,—,—,0.45937,—,—,0.52610,—,—,—
WN18RR,DistMult,0.47006,—,—,0.43586,—,—,0.48405,—,—,0.53350,—,—,—
FB15K-237-10,ComplEx,0.23774,—,—,0.16540,—,—,0.25752,—,—,0.38099,—,—,—
FB15K-237-20,ComplEx,0.25132,—,—,0.17698,—,—,0.26997,—,—,0.40337,—,—,—
FB15K-237-50,ComplEx,0.28889,—,—,0.20503,—,—,0.31268,—,—,0.46256,—,—,—
NELL23K,ComplEx,0.23220,—,—,0.15065,—,—,0.24960,—,—,0.40287,—,—,—
WD-singer,ComplEx,0.39022,—,—,0.33182,—,—,0.42488,—,—,0.49251,—,—,—
WN18RR,ComplEx,0.46179,—,—,0.43650,—,—,0.47415,—,—,0.51085,—,—,—
WD-singer,TransE,0.18137,—,—,0.11303,—,—,0.20018,—,—,0.31911,—,—,—
WD-singer,ConvE,0.42896,—,—,0.36450,—,—,0.46210,—,—,0.54698,—,—,—
WD-singer,TuckER,0.42237,—,—,0.34135,—,—,0.47390,—,—,0.55924,—,—,—
FB15K-237-10,TransE,0.22991,—,—,0.15796,—,—,0.25234,—,—,0.37350,—,—,—
FB15K-237-10,ConvE,0.24429,—,—,0.17399,—,—,0.26050,—,—,0.38887,—,—,—
FB15K-237-10,TuckER,0.25491,—,—,0.18083,—,—,0.27278,—,—,0.40501,—,—,—
WN18RR,TransE,0.03680,—,—,0.02265,—,—,0.03638,—,—,0.06541,—,—,—
WN18RR,ConvE,0.44904,—,—,0.41576,—,—,0.45788,—,—,0.51946,—,—,—
WN18RR,TuckER,0.47999,—,—,0.45182,—,—,0.49234,—,—,0.52872,—,—,—
FB15K-237-20,TransE,0.24871,—,—,0.17344,—,—,0.26987,—,—,0.40054,—,—,—
FB15K-237-20,ConvE,0.25581,—,—,0.18244,—,—,0.27281,—,—,0.40650,—,—,—
FB15K-237-20,TuckER,0.27017,—,—,0.18998,—,—,0.28964,—,—,0.43750,—,—,—
FB15K-237-50,TransE,0.27536,—,—,0.18791,—,—,0.30466,—,—,0.44903,—,—,—
FB15K-237-50,ConvE,0.29515,—,—,0.20965,—,—,0.32031,—,—,0.47087,—,—,—
FB15K-237-50,TuckER,0.31609,—,—,0.22515,—,—,0.34599,—,—,0.50344,—,—,—
NELL23K,ConvE,0.26251,—,—,0.17932,—,—,0.29019,—,—,0.44144,—,—,—
NELL23K,TuckER,0.27474,—,—,0.17750,—,—,0.30170,—,—,0.47880,—,—,—
NELL23K,TransE,0.21505,—,—,0.13550,—,—,0.24798,—,—,0.39479,—,—,—
