Method,FB15K-237-10_MRR,FB15K-237-10_H3,FB15K-237-20_MRR,FB15K-237-20_H3,FB15K-237-50_MRR,FB15K-237-50_H3,NELL23K_MRR,NELL23K_H3,WD-singer_MRR,WD-singer_H3,WN18RR_MRR,WN18RR_H3
TransE,0.15039,0.16284,0.16306,0.17289,0.18605,0.20146,0.17446,0.20103,0.12180,0.13731,0.02583,0.02553
DistMult,0.12185,0.12851,0.15785,0.16560,0.21168,0.22582,0.20428,0.22728,0.35888,0.39333,0.44678,0.46251
ComplEx,0.15412,0.16391,0.16609,0.17483,0.19773,0.21037,0.19232,0.20860,0.33663,0.36541,0.44830,0.46059
ConvE,0.15832,0.16457,0.16876,0.17764,0.20352,0.21802,0.22266,0.24556,0.36185,0.39242,0.43142,0.44177
RotatE,0.11918,0.12545,0.16881,0.17766,0.22398,0.24038,0.19359,0.20668,0.36757,0.39968,0.45857,0.46729
TuckER,0.16800,0.17667,0.18226,0.19266,0.22144,0.23871,0.22421,0.24465,0.35530,0.40241,0.45067,0.46011
Prob-CBR,0.08234,0.08529,0.13881,0.14480,0.19080,0.20252,0.16158,0.17003,0.18902,0.21138,0.44523,0.45916
AnyBURL,0.14368,0.15287,0.17244,0.18120,0.21893,0.23435,0.21384,0.22695,0.38946,0.42102,0.48398,0.49888
DacKGR,0.12375,0.13410,0.14017,0.15185,0.16598,0.18001,0.13425,0.14388,0.27927,0.30617,0.37257,0.38880
HoGRN,0.16981,0.17942,0.18549,0.19514,0.21604,0.23197,0.24471,0.26434,0.38747,0.42465,0.47498,0.48979
LoGRe,0.15780,0.16597,0.17832,0.18886,0.20767,0.22542,0.24102,0.26169,0.41417,0.44936,—,—
StruProKGR,0.16071,0.16947,0.18143,0.19219,0.21324,0.23035,0.23981,0.26238,0.40763,0.44324,—,—
PathBSR,0.166300,0.177548,0.185165,0.199181,0.219026,0.239594,0.263434,0.287662,0.402991,0.436677,0.470970,0.483408
