Method,FB15K-237-10_MRR,FB15K-237-10_H3,FB15K-237-20_MRR,FB15K-237-20_H3,FB15K-237-50_MRR,FB15K-237-50_H3,NELL23K_MRR,NELL23K_H3,WD-singer_MRR,WD-singer_H3,WN18RR_MRR,WN18RR_H3
TransE,0.22991,0.25234,0.24871,0.26987,0.27536,0.30466,0.21505,0.24798,0.18137,0.20018,0.03680,0.03638
DistMult,0.18591,0.20033,0.23898,0.25551,0.30236,0.32651,0.24374,0.27221,0.41565,0.45937,0.47006,0.48405
ComplEx,0.23774,0.25752,0.25132,0.26997,0.28889,0.31268,0.23220,0.24960,0.39022,0.42488,0.46179,0.47415
ConvE,0.24429,0.26050,0.25581,0.27281,0.29515,0.32031,0.26251,0.29019,0.42896,0.46210,0.44904,0.45788
RotatE,0.18301,0.19802,0.25209,0.27154,0.31778,0.34585,0.22917,0.24354,0.42353,0.46074,0.48008,0.49138
TuckER,0.25491,0.27278,0.27017,0.28964,0.31609,0.34599,0.27474,0.30170,0.42237,0.47390,0.47999,0.49234
Prob-CBR,0.13547,0.14529,0.21931,0.23529,0.28385,0.30496,0.21233,0.22819,0.19531,0.21788,0.48195,0.50542
AnyBURL,0.22272,0.24116,0.25689,0.27377,0.30971,0.33438,0.25665,0.27153,0.46427,0.50250,0.51090,0.52904
DacKGR,0.21936,0.24121,0.24532,0.27013,0.28356,0.31249,0.19175,0.20658,0.35186,0.39719,0.39777,0.42374
HoGRN,0.25605,0.27598,0.27450,0.29475,0.30887,0.33665,0.29390,0.31624,0.46561,0.50567,0.49961,0.51787
LoGRe,0.22751,0.24364,0.26082,0.28160,0.29624,0.32479,0.25865,0.27928,0.46040,0.49251,—,—
StruProKGR,0.23467,0.25273,0.26727,0.28868,0.30438,0.33355,0.26263,0.28534,0.46525,0.50023,—,—
PathBSR,0.257655,0.276584,0.274716,0.297684,0.310889,0.343486,0.323742,0.349960,0.488415,0.525647,0.504451,0.521378
